Nested Sampling Global Log-Evidence           :   -0.891815372457932654E+03  +/-    0.149129636314495800E+00
Nested Importance Sampling Global Log-Evidence:   -0.892522020470028451E+03  +/-    0.528756570707335713E-01

Dim No.       Mean        Sigma
   1    0.568264231903881645E+00    0.180302041307669497E+00
   2    0.228951600609313383E+00    0.162709458773926646E+00
   3    0.216639867081361670E+01    0.304804484405825249E+00
   4    0.598766140440974048E+01    0.170775047568533833E+01
   5    0.280122686856441883E+01    0.166892370846963334E+01
   6    0.123652365959728194E+01    0.177447251191590855E+00
   7    0.178419656518232689E+00    0.120950897071969862E+00
   8    0.452410292981960424E+03    0.789867041569891004E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.426555330421278134E+00
   2    0.179428713587355931E+00
   3    0.213642752682979475E+01
   4    0.445967720290675729E+01
   5    0.243399679878228303E+01
   6    0.131597169512489454E+01
   7    0.446553008205635097E-02
   8    0.457962156668775833E+03

MAP Parameters
Dim No.        Parameter
   1    0.273160257216706892E+00
   2    0.353581931764741120E+00
   3    0.208155600865415735E+01
   4    0.400441929570956834E+01
   5    0.293081222083753046E+01
   6    0.135437475642357885E+01
   7    0.413058650895081758E+00
   8    0.457077493685042498E+03
