Nested Sampling Global Log-Evidence           :   -0.945850797603479805E+03  +/-    0.280875149231445742E+00
Nested Importance Sampling Global Log-Evidence:   -0.949613227482345337E+03  +/-    0.242508283740791065E-01

Dim No.       Mean        Sigma
   1    0.785297505952649688E+00    0.368656815537992527E-03
   2    0.808422277291690333E-01    0.802647997947346695E-03
   3    0.111095671297160115E+01    0.517079273982071880E-03
   4    0.744833444477265338E+01    0.655036363202922411E-02
   5    0.534784892658920707E+01    0.495679748293671989E-02
   6    0.347460464002980359E+03    0.177805296722535144E+00
   7    0.155364686408477948E+00    0.110462901153549897E+00
   8    0.365985581044133096E+04    0.343876037737269602E+01
   9    0.495900161902307179E+00    0.128020912421187377E+00
  10    0.335132765989243242E+00    0.203132510028306235E+00
  11    0.165264592659998333E+01    0.168046576786698237E+00
  12    0.478862017574919197E+01    0.160095770265090720E+01
  13    0.243820285553784100E+01    0.968485145442509521E+00
  14    0.541280627569024109E+01    0.776120938445733710E+00
  15    0.389698474072532761E+02    0.443419158297983229E-01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.785289902846511012E+00
   2    0.811892149680267516E-01
   3    0.111086527492444964E+01
   4    0.745099434144979433E+01
   5    0.534563822557008717E+01
   6    0.347408388202283106E+03
   7    0.792741346101271879E-02
   8    0.366078605562556095E+04
   9    0.493662637073713384E+00
  10    0.376392488020386162E+00
  11    0.167216006103347792E+01
  12    0.398917850076958302E+01
  13    0.240072275721200779E+01
  14    0.542819024940003203E+01
  15    0.389776404671015513E+02

MAP Parameters
Dim No.        Parameter
   1    0.785499347306281681E+00
   2    0.819121448966679405E-01
   3    0.110999866174754813E+01
   4    0.745878183924820792E+01
   5    0.534025502582449807E+01
   6    0.347237863276887140E+03
   7    0.196461046622646608E-01
   8    0.366430817502825312E+04
   9    0.752383904435565798E+00
  10    0.463295875571486493E+00
  11    0.172650380980573526E+01
  12    0.439532167659780537E+01
  13    0.168574615185759313E+01
  14    0.484679373961755200E+01
  15    0.389512294219661186E+02
