Nested Sampling Global Log-Evidence           :   -0.115879392957365212E+04  +/-    0.268262289997705405E+00
Nested Importance Sampling Global Log-Evidence:   -0.116369133151079404E+04  +/-    0.581557042929185895E-02

Dim No.       Mean        Sigma
   1   -0.777669073910683739E+00    0.268377565046291067E-01
   2    0.226524891229113123E+00    0.186489648719853872E-01
   3    0.122406262469510163E+01    0.967658967063737413E-01
   4    0.400130975870932826E+01    0.129727031274147697E+00
   5    0.612614387045564524E+01    0.805588670570393378E-01
   6    0.807499136806011819E+01    0.147514180470151801E+00
   7    0.139847448096989280E+01    0.897669248029203948E-01
   8    0.833357839177240521E+03    0.210466087988952966E+01
   9    0.132816814618620688E+00    0.194858147690250296E-02
  10    0.477025186260403022E-01    0.129093132354022692E-01
  11    0.240933666628599230E+01    0.172260101928229932E-02
  12    0.508073121882863177E+01    0.250357478071207784E+00
  13    0.609128484722764707E+01    0.241908404154665052E+00
  14    0.317699753990248119E+02    0.193637657426932730E+00
  15    0.209277500094776497E+04    0.874647262565297545E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1   -0.772694872012269496E+00
   2    0.239754015005185755E+00
   3    0.115583907309941814E+01
   4    0.393915678331688790E+01
   5    0.613473646175444287E+01
   6    0.805233341930558666E+01
   7    0.132286929270616915E+01
   8    0.833461143845855077E+03
   9    0.133190706534027870E+00
  10    0.584614253294677422E-01
  11    0.240877150826945163E+01
  12    0.488083895501565479E+01
  13    0.628201052159692708E+01
  14    0.318976016949672250E+02
  15    0.208508945026231640E+04

MAP Parameters
Dim No.        Parameter
   1   -0.803990050210471208E+00
   2    0.252247909919705859E+00
   3    0.112325181584381140E+01
   4    0.382462234725703798E+01
   5    0.623716432594204839E+01
   6    0.804561041629379226E+01
   7    0.138554185160322429E+01
   8    0.833993279991481245E+03
   9    0.135610025230710418E+00
  10    0.601845303771020718E-01
  11    0.240799462445788182E+01
  12    0.502971048208983529E+01
  13    0.613206947076854814E+01
  14    0.319291558479069337E+02
  15    0.208564059014328404E+04
