Nested Sampling Global Log-Evidence           :   -0.941942311065712147E+03  +/-    0.161185083277477298E+00
Nested Importance Sampling Global Log-Evidence:   -0.942165876155487695E+03  +/-    0.476273084863958127E-01

Dim No.       Mean        Sigma
   1    0.658595268218987839E+00    0.130616724625373937E+00
   2    0.574257703318502455E+00    0.156077899962044547E+00
   3    0.257781073827691687E+01    0.375032813947967059E+00
   4    0.829184111347213104E+01    0.897308491046255319E+00
   5    0.228376454217055169E+01    0.550550234048210019E+00
   6    0.417527166600341015E+01    0.793880994632778392E+00
   7    0.342446253396170908E+00    0.154969357066131158E+00
   8    0.971463071995688665E+01    0.127510408345226200E+00

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.567271763890412783E+00
   2    0.836625536281911719E+00
   3    0.269369111791527871E+01
   4    0.825577114461844097E+01
   5    0.226063544292664043E+01
   6    0.608607362251331541E+01
   7    0.333634215451694305E+00
   8    0.964384745497642548E+01

MAP Parameters
Dim No.        Parameter
   1    0.712590280213404315E+00
   2    0.489392815012270166E+00
   3    0.285794819921022381E+01
   4    0.848957267149005546E+01
   5    0.201837651237562365E+01
   6    0.318732090698752613E+01
   7    0.414164752975568096E+00
   8    0.977286352862559937E+01
