Nested Sampling Global Log-Evidence           :   -0.979961014741487020E+03  +/-    0.240370948868228823E+00
Nested Importance Sampling Global Log-Evidence:   -0.981861566790188817E+03  +/-    0.418218845544123148E-02

Dim No.       Mean        Sigma
   1    0.785695690171627659E+00    0.387567947700519797E-03
   2    0.817471790404719068E-01    0.854052862226661164E-03
   3    0.110947725790807139E+01    0.512127538176872341E-03
   4    0.746294472331607395E+01    0.649670991688329653E-02
   5    0.533772014828731756E+01    0.488393938160355204E-02
   6    0.347236986594340181E+03    0.186475083985939566E+00
   7    0.501885457543583824E+00    0.161933310576489048E+00
   8    0.366615543922124925E+04    0.359096897316527741E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.785619730046659637E+00
   2    0.817125810808531777E-01
   3    0.110952301187253144E+01
   4    0.746211705283091309E+01
   5    0.533832836951226941E+01
   6    0.347253241086378239E+03
   7    0.552485621063854349E+00
   8    0.366577107090897061E+04

MAP Parameters
Dim No.        Parameter
   1    0.786069396313288760E+00
   2    0.820515720479088051E-01
   3    0.110928397079236585E+01
   4    0.746481394935807696E+01
   5    0.533683126507780869E+01
   6    0.347100156383811736E+03
   7    0.327312639015177209E+00
   8    0.366833331824654215E+04
