Nested Sampling Global Log-Evidence           :   -0.184935929849415038E+04  +/-    0.193856618837055711E+00
Nested Importance Sampling Global Log-Evidence:   -0.185053430868548003E+04  +/-    0.546305392451865591E-02

Dim No.       Mean        Sigma
   1    0.277168154056877149E-01    0.372323614185858260E-02
   2    0.239962177055497827E+00    0.202950854849252536E-01
   3    0.238032727557516477E+01    0.674695447755034681E-02
   4    0.398925329949944807E+01    0.726018204370667691E-01
   5    0.789874339992133634E+00    0.754676028078193339E-01
   6    0.345792763068296907E+02    0.417886531718639875E+00
   7    0.798834615771875622E+01    0.253091189457261556E+00
   8    0.197773976874407936E+04    0.969499578463437750E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.278267993075578257E-01
   2    0.245499874580728250E+00
   3    0.238059915256998078E+01
   4    0.400056264807761508E+01
   5    0.775443615609925474E+00
   6    0.346463409683144192E+02
   7    0.796139792107607391E+01
   8    0.197507345298356495E+04

MAP Parameters
Dim No.        Parameter
   1    0.204366418197610145E-01
   2    0.253579827940961788E+00
   3    0.237730811491370719E+01
   4    0.409690147159895446E+01
   5    0.676516231274376101E+00
   6    0.351955403232978696E+02
   7    0.784888576012570383E+01
   8    0.196561110852852562E+04
