Nested Sampling Global Log-Evidence           :   -0.100721589822652379E+04  +/-    0.303265771685600982E+00
Nested Importance Sampling Global Log-Evidence:   -0.101537303992504326E+04  +/-    0.560979965092004828E-02

Dim No.       Mean        Sigma
   1    0.861208396045376912E+00    0.999963998174040331E-01
   2    0.343829634089725944E+00    0.900978831033874272E-01
   3    0.133240955015161289E+01    0.787635888343361290E+00
   4    0.550997921768468224E+01    0.827504848973365292E+00
   5    0.387175009059215647E+01    0.288558270421955865E+00
   6    0.212390647724291393E+01    0.162722278019116373E+00
   7    0.230994792932826598E+00    0.146457543698826825E+00
   8    0.395856844239671602E+03    0.226955766810466386E+01
   9   -0.871477552139727552E+00    0.282341991663393535E-01
  10    0.160209590842712496E+00    0.228150389978447991E-01
  11    0.901352687055713142E+00    0.153957831365112707E+00
  12    0.396054709287014717E+01    0.206842343312332894E+00
  13    0.595749700797031689E+01    0.135388574088495389E+00
  14    0.764820531409592697E+01    0.805558454459844447E-01
  15    0.840737245186999530E+03    0.188036016580793497E+01
  16    0.135970249298074747E+00    0.150891855040916089E-02
  17    0.836610157904409124E-01    0.105111640690727301E-01
  18    0.240756555074289658E+01    0.132721206424723246E-02
  19    0.509650396770116565E+01    0.156493374135381641E+00
  20    0.605896534742823523E+01    0.147340428393329420E+00
  21    0.321244047844866927E+02    0.202128403887507690E+00
  22    0.208172392024560122E+04    0.934461983064550594E+01

Maximum Likelihood Parameters
Dim No.        Parameter
   1    0.861771882504496656E+00
   2    0.389627930237959053E+00
   3    0.965193341995827181E+00
   4    0.599696298407627904E+01
   5    0.373231506628346432E+01
   6    0.216651686503422525E+01
   7    0.790998297481540769E-01
   8    0.395390465012102197E+03
   9   -0.873941823479257529E+00
  10    0.153046195772181648E+00
  11    0.826109353040059613E+00
  12    0.391506517817417254E+01
  13    0.594007725391005881E+01
  14    0.765023844886924298E+01
  15    0.841684896524049918E+03
  16    0.136549918525652458E+00
  17    0.852270755052388918E-01
  18    0.240811254789524209E+01
  19    0.511223842566958631E+01
  20    0.604254747293696237E+01
  21    0.321077807452160613E+02
  22    0.208252430348586586E+04

MAP Parameters
Dim No.        Parameter
   1    0.856594324201521484E+00
   2    0.361085302311534462E+00
   3    0.306284686701228281E+01
   4    0.352164002903008866E+01
   5    0.426278297357074454E+01
   6    0.204484568429459301E+01
   7    0.165650090008219592E+00
   8    0.399123759576833493E+03
   9   -0.845193523161083760E+00
  10    0.170228245060207811E+00
  11    0.101115649807630015E+01
  12    0.398159630151323674E+01
  13    0.605324205898862733E+01
  14    0.776712032441293143E+01
  15    0.842066894541579586E+03
  16    0.135725571780412002E+00
  17    0.810782893951885464E-01
  18    0.240819493085466574E+01
  19    0.501255432629921227E+01
  20    0.613858796994643896E+01
  21    0.321410131845706530E+02
  22    0.207564157527414864E+04
